Title,Authors,Year,Tags,Abstract,URL,Zotero Key
"“Because if we talk about health issues first, it is easier to talk about human trafficking”; findings from a mixed methods study on health needs and service provision among migrant and trafficked fishermen in the Mekong","Nicola S. Pocock, Reena Tadee, Kanokwan Tharawan, Wansiri Rongrongmuang, Brett Dickson, Soksreymom Suos, Ligia Kiss, Cathy Zimmerman",#NUM!,,"Conclusion: Fishermen in this region are exposed to very serious risks to their health and safety, and their illnesses and injuries often go untreated. Men who enter the fishing industry in Thailand, especially migrant workers, require safe working conditions and targeted protections from human trafficking. Survivors of the crime of sea slavery must be provided with the compensation they deserve and the care they need, especially psychological support.",https://globalizationandhealth.biomedcentral.com/articles/10.1186/s12992-018-0361-x,EUF6A9EQ
Young men doing business: Male bar prostitution in Berlin and Prague,"Graham Ellison, Ronald Weitzer",#NUM!,,"Studies of male sex workers are often confined to the individual level, rather than examining their work environment per se or the larger social ecology in which their business activities are embedded. We know relatively little, for example, about the spatial location of erotic worksites (apart from street-level work) or the interactional dynamics of sellers and clients within such settings. This paper is based on an ethnographic study of bars and clubs in Prague and Berlin where male sexual commerce is transacted. We find considerable differences between the cities in the social organization of these bars and in participants’ demographic characteristics. The analysis links our micro-level findings to the larger forces of economic migration and sex tourism, factors that differ between the two cases.",http://journals.sagepub.com/doi/10.1177/1363460717708139,5ZZTRXBG
Worker feedback technologies and combatting modern slavery in global supply chains: examining the effectiveness of remediation-oriented and due-diligence-oriented technologies in identifying and addressing forced labour and human trafficking,"Lisa Rende Taylor, Elena Shih",2018,,"The global proliferation of mobile-phone-based technologies in countries producing goods for global export—including SMS, smartphone apps, hotlines, polls, and other methods—offers exciting opportunities for collecting worker feedback to support corporate responsible sourcing. This seven-country study analysed how such technologies vary based on their fundamental relationships with workers and with businesses, and their commitments to workers and business, which leads to varying impacts on workers’ lives. Due-diligence-oriented technology tools were found to help control risk in supply-chain hot spots, but rarely identified modern slavery due to gaining little trust from workers, and business clients not being ready to expose or address modern slavery. Empowerment-oriented worker feedback tools were found to regularly identify modern slavery, forced labour, and human trafficking and to assist exploited workers, but most had no connection to business’s due diligence. Key ethical concerns were exposed as well, including the burden that some technology tools place on worker respondents, with insufficient benefits and safeguards to those vulnerable informant populations.",https://www.thebritishacademy.ac.uk/publications/journal-british-academy/7s1/worker-feedback-technologies-and-combatting-modern-slavery-in-global-supply-chains,PRP58KSJ
"Use of ICD-10 Codes for Human Trafficking: Analysis of Data From a Large, Multisite Clinical Database in the United States","Patrick L. Kerr, Gavin Bryant",#NUM!,,"Objectives: People experiencing trafficking often seek health care but are not identified. Although the Centers for Disease Control and Prevention added new International Classification of Diseases, 10th Revision, Clinical Modification (ICD-10-CM) codes specific to human trafficking (hereinafter, HT ICD-10-CM codes) that could systematize the identification and documentation of human trafficking in US health care settings, the extent of their use is unknown. The objectives of this study were to investigate (1) the frequency of HT ICD-10-CM code use in US health care organizations (HCOs) and (2) demographic data associated with HT ICD-10-CM codes using a large clinical database.
Methods: This retrospective study used deidentified data collected from October 1, 2018, through March 30, 2021, from a clinical database (N = 69 740 144 patients) network (TriNetX) of 48 collaborating US HCOs. Data included number of patients with ≥1 HT ICD-10-CM code, diagnoses, and demographic characteristics (age, sex, race, ethnicity, and region).
Results: HT ICD-10-CM codes were associated with 298 patients in US HCOs, most of whom were young (mean [SD] age, 26 [16] y), White (53.0%; n = 158), and female (87.9%; n = 262). Thirty-seven of 48 (77.1%) participating HCOs used ≥1 HT ICD-10-CM code. The most frequently used HT ICD-10-CM codes were “forced sexual exploitation, suspected” (32.2%; n = 96) and “personal history of forced labor or sexual exploitation” (27.1%; n = 81). Labor trafficking codes were noted in approximately 3.7% of cases.
Conclusions: HT ICD-10-CM codes are being used by health care professionals, as confirmed by large databases. Further research is needed to understand variation in code use and risk factors associated with human trafficking.",http://journals.sagepub.com/doi/10.1177/00333549221095631,ITWJHKDI
The Swedish Sex Purchase Act: Where Does it Stand?,"Charlotta Holmström, May-Len Skilbrei",2017,,"In this article, we present and discuss the intended and unintended effects of the Swedish Sex Purchase Act, which criminalises the purchase of sex within a context where the sale of sex is legal. Whether or not this means of regulating prostitution is successful, and whether it has negative consequences for people who sell sex, are important questions in international policy and academic debates. This article builds on a scoping study aimed at identifying relevant sources of information as to the consequences of the Swedish Sex Purchase Act, then summarising and discussing these findings. The article offers policy makers and scholars a comprehensive presentation of the evidence and a discussion of the methodological, political and theoretical challenges arising from this.",http://www.idunn.no/doi/10.18261/issn.2387-3299-2017-02-02,Q7N82RCP
Helping victims of prostitution and trafficking: It takes a community…,"Celia Williamson, Lynda M. Baker",2008,,"Child sex trafﬁcking and adult women involved in street-based prostitution are two problems affecting the city of Toledo, Ohio. While various agencies worked independently to address these problems, there was no collaborative effort. We decided to organize a year-long roundtable that included people from Toledo-based social service, criminal justice, and health care systems, as well as concerned citizens, church groups, and survivors of prostitution. Our intent was to develop responses that were speciﬁc and sensitive not only to the needs of prostituted women and trafﬁcked teens, but also to service providers and members of the community. In this article, we report on our project, its accomplishments, and lessons learned.",http://essential.metapress.com/openurl.asp?genre=article&id=doi:10.1921/81138,MDCJYFS9
Full Text,,,"Law Enforcement, Mental Health, Social Work",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4922505/pdf/nihms790578.pdf,4BR36WZP
Gerassi et al. - 2016 - Trading Sex for Money or Compensation Prevalence .pdf,,,Needs Review,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5302119/pdf/nihms816462.pdf,HREXFFZI
Full Text,,,"Law Enforcement, Mental Health, Social Work",,https://digitalcommons.uri.edu/cgi/viewcontent.cgi?article=1149&context=dignity,67CZHSSB
Full Text,,,Needs Review,,https://digitalcommons.uri.edu/cgi/viewcontent.cgi?article=1088&context=dignity,QKM7BTND
Kiss et al. - 2021 - The use of Bayesian networks for realist evaluatio.pdf,,,Needs Review,,https://link.springer.com/content/pdf/10.1007%2Fs42001-020-00067-8.pdf,7ERHD5TJ
Full Text,,,Needs Review,,https://journals.sagepub.com/doi/pdf/10.1177/1059840520987533,A2DLR7SA
Full Text,,,Needs Review,,https://www.research.ed.ac.uk/files/14793937/Smith_M_Presentation_of_Child_Trafficking.pdf,NN7N5HZJ
Full Text,,,Needs Review,,https://www.mdpi.com/2075-4698/13/3/66/pdf?version=1678954356,R3QF4KNA
Full Text,,,Needs Review,,https://equityhealthj.biomedcentral.com/counter/pdf/10.1186/s12939-021-01573-5,Z7ENVJ45
Full Text,,,"Mental Health, Social Work",,https://www.mdpi.com/2411-5118/4/2/17/pdf?version=1681359580,QKURDXSZ
"Urada et al. - 2019 - Sexual Exploitation as a Minor, Violence, and HIV.pdf",,,Needs Review,,https://www.mdpi.com/1660-4601/16/22/4343/pdf?version=1573203511,5MJJCU5U
Marcinkowski et al. - 2022 - Sex trafficking screening and intervention in the .pdf,,,Needs Review,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/emp2.12638,9EDL4P2E
Sapkota - 3. SEX TRAFFICKING IN NEPAL.pdf,,,Needs Review,,https://www.nepjol.info/index.php/rnjds/article/download/21271/17412,KCY6E5EB
Full Text,,,Needs Review,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4966814/pdf/12913_2016_Article_1538.pdf,NDFV4EZG
Full Text,,,Needs Review,,http://www.annemergmed.com/article/S0196064420301815/pdf,92IIBFD6
Full Text,,,Needs Review,,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/704540DC87EF97B70186AC7F09531E94/S2045796019000295a.pdf/div-class-title-patterns-of-violence-and-coercion-with-mental-health-among-female-and-male-trafficking-survivors-a-latent-class-analysis-with-mixture-models-div.pdf,M9XJ73V2
Full Text,,,"Law Enforcement, Mental Health, Social Work",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9022300/pdf/12889_2022_Article_13021.pdf,RA5FLSH9
Full Text,,,"Law Enforcement, Mental Health, Social Work",,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0273708&type=printable,JXWH7RAN
Full Text,,,"Lived Experience, Social Work",,https://journals.co.za/doi/pdf/10.10520/EJC-d1feceba9,X7486VAY
Full Text,,,"Law Enforcement, Mental Health, Social Work",,https://www.mdpi.com/1660-4601/20/5/4309/pdf?version=1677578177,S8TPS5E8
Full Text,,,Needs Review,,https://escholarship.org/content/qt06z370g3/qt06z370g3.pdf?t=qabkkc,TQFEATDY
Full Text,,,Needs Review,,https://journals.co.za/doi/pdf/10.10520/EJC-1ef407a312,AP2IHHL7
Erikson and Larsson - 2020 - How platforms facilitate collaboration across orga.pdf,,,"Law Enforcement, Mental Health, Social Work",,https://link.springer.com/content/pdf/10.1007%2Fs11077-020-09371-6.pdf,SSQJ9GNP
Full Text,,,Needs Review,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/acem.14346,ZNPHI77J
Kaltiso et al. - 2021 - Feasibility of a screening tool for sex traffickin.pdf,,,Needs Review,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/acem.14313,S4G2AA54
"Gerassi - 2015 - From Exploitation to Industry Definitions, Risks,.pdf",,,Needs Review,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4696486/pdf/nihms-723344.pdf,Y8SLND2B
Full Text,,,Needs Review,,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0299500&type=printable,WHGPQSL3
Hounmenou and Toepp - 2023 - Exploring Private Investigation Agencies’ Experien.pdf,,,"Law Enforcement, Mental Health, Social Work",,https://www.mdpi.com/2075-4698/13/2/44/pdf?version=1676426740,DALBMNCZ
Full Text,,,Needs Review,,https://globalizationandhealth.biomedcentral.com/counter/pdf/10.1186/s12992-021-00725-0,2DDY7G4X
Full Text,,,"Law Enforcement, Mental Health, Social Work",,https://www.mdpi.com/2075-4698/13/8/193/pdf?version=1692259370,REA69AGW
Full Text,,,Needs Review,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jpc.15116,PRT64KL2
Gerassi et al. - 2017 - Design strategies from sexual exploitation and sex.pdf,,,"Law Enforcement, Mental Health, Social Work",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5562390/pdf/nihms-756921.pdf,6V3H7GD6
Full Text,,,Needs Review,,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/A8721B0A4EE9F8BBF87F8831B0891FDC/S2056472421010073a.pdf/div-class-title-complex-post-traumatic-stress-disorder-in-asylum-seekers-and-victims-of-trafficking-treatment-considerations-div.pdf,727S9TRA
Full Text,,,Needs Review,,https://www.mdpi.com/2411-5118/2/1/3/pdf?version=1610002479,GTYD2C5B
Full Text,,,Needs Review,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7264998/pdf/bmjpo-2018-000327.pdf,27YP6674
Gardner et al. - 2021 - Building Slavery-free Communities A Resilience Fr.pdf,,,"Mental Health, Social Work",,https://nottingham-repository.worktribe.com/preview/4742659/Building%20Slavery%20free%20Communities%20A%20Resilience%20Framework.pdf,H23AIR26
Full Text,,,Needs Review,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/acem.13888,VJFRURL7
"Pocock et al. - 2018 - “Because if we talk about health issues first, it .pdf",,,"Mental Health, Social Work",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5941587/pdf/12992_2018_Article_361.pdf,I5KAFM4R
Full Text,,,Needs Review,,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0264338&type=printable,GADS4JT8
Full Text,,,"Law Enforcement, Mental Health, Social Work",,https://journals.sagepub.com/doi/pdf/10.1177/00333549211061774,D3IAHVH4
Bounds et al. - 2020 - Adapting a family intervention to reduce risk fact.pdf,,,Needs Review,,https://capmh.biomedcentral.com/counter/pdf/10.1186/s13034-020-00314-w,BTSMBSRK
Full Text,,,Needs Review,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7357858/pdf/nihms955384.pdf,GN45V3P3
Aberdein and Zimmerman - 2015 - Access to mental health and psychosocial services .pdf,,,"Lived Experience, Mental Health, Social Work",,https://ijmhs.biomedcentral.com/counter/pdf/10.1186/s13033-015-0008-8,3URZQ6HT
Jacobson et al. - 2022 - A protocol for a qualitative study on sex traffick.pdf,,,Needs Review,,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0274991&type=printable,YGJYVKZN
Full Text,,,Needs Review,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4730391/pdf/nihms736003.pdf,DM64W9EJ
Full Text,,,"Law Enforcement, Mental Health, Public Policy, Social Work",,http://www.pediatricnursing.org/article/S0882596322001336/pdf,VSDLEG3I
Ellison and Weitzer - 2018 - Young men doing business Male bar prostitution in.pdf,,,"Law Enforcement, Mental Health, Public Policy, Social Work",,https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID3055637_code1069781.pdf?abstractid=3055637&mirid=1,QQ2MNZET
Preble et al. - 2022 - Working With Survivors of Human Trafficking Resul.pdf,,,Needs Review,,https://journals.sagepub.com/doi/pdf/10.1177/00333549221089254,5UPWF323
Rende Taylor and Shih - 2019 - Worker feedback technologies and combatting modern.pdf,,,"Law Enforcement, Mental Health, Social Work",,https://www.thebritishacademy.ac.uk/documents/944/JBA-7s1-06-Rende-Taylor-Shih.pdf,CAN7WM2I
Full Text,,,Needs Review,,https://files.constantcontact.com/9267afe1901/790f5008-5996-4a8f-bb86-e34087aa1965.pdf,XFQ3KUWK
Chisolm‐Straker et al. - 2021 - Validation of a screening tool for labor and sex t.pdf,,,Needs Review,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/emp2.12558,K5WU5PF8
Kerr and Bryant - 2022 - Use of ICD-10 Codes for Human Trafficking Analysi.pdf,,,"Law Enforcement, Mental Health, Social Work",,https://journals.sagepub.com/doi/pdf/10.1177/00333549221095631,5PL88ABY
Full Text,,,Needs Review,,http://www.ijsrd.com/articles/IJSRDV7I100136.pdf,4DS7WEXW
Full Text,,,Needs Review,,https://journals.sagepub.com/doi/pdf/10.1177/00333549211048785,Y3HWCXRB
Full Text,,,Needs Review,,https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID2977533_code2263916.pdf?abstractid=2977533&mirid=1,NQCAU8Q8
Full Text,,,Needs Review,,https://academic.oup.com/bjc/article-pdf/58/6/1440/25911181/azx082.pdf,8PFLH2H4
Full Text,,,Needs Review,,https://journals.sagepub.com/doi/pdf/10.1177/21501319221093119,P25PHIM5
Holmström and Skilbrei - 2017 - The Swedish Sex Purchase Act Where Does it Stand.pdf,,,"Law Enforcement, Mental Health, Social Work",,https://www.idunn.no/doi/pdf/10.18261/issn.2387-3299-2017-02-02,U7TMNVQY
Full Text,,,"Law Enforcement, Mental Health, Social Work",,https://journals.sagepub.com/doi/pdf/10.1177/21582440231210474,48XQY4YT
Franchino-Olsen et al. - 2022 - The Prevalence of Sex Trafficking of Children and .pdf,,,Needs Review,,https://journals.sagepub.com/doi/pdf/10.1177/1524838020933873,3WJ2BPTJ
Full Text,,,Needs Review,,https://journals.sagepub.com/doi/pdf/10.1177/23821205211016523,F3HLI6VN
Bekmuratova et al. - 2023 - The Impact of an Educational Human Trafficking Pan.pdf,,,Needs Review,,https://encompass.eku.edu/cgi/viewcontent.cgi?article=1790&context=jote,DJBPZ7P4
Full Text,,,Needs Review,,https://journals.sagepub.com/doi/pdf/10.1177/0886109920939053,UQRCXGMU
"The Youth Voice International, Sri Lanka et al. - 2023 - The Experiences of Children on Sri Lanka's Tea Pla.pdf",,,Needs Review,,https://digitalcommons.uri.edu/cgi/viewcontent.cgi?article=1377&context=dignity,U97LGYTW
Full Text,,,Needs Review,,https://psychosocial.com/api/download/10185,LLEKT49D
Bernstein and Shih - 2014 - The Erotics of Authenticity Sex Trafficking and .pdf,,,Needs Review,,https://glc.yale.edu/sites/default/files/pdf/shih_erotics_of_authenticity.pdf,HUZZPJDU
Full Text,,,Needs Review,,http://www.scielo.org.za/pdf/ahrlj/v11n2/04.pdf,HCRI8TIC
Begley et al. - 2022 - Student Perceptions of an Interprofessional Short .pdf,,,"Lived Experience, Mental Health, Social Work",,https://www.ingentaconnect.com/search/download?pub=infobike%3a%2f%2fasahp%2fjah%2f2022%2f00000051%2f00000002%2fart00015&mimetype=application%2fpdf&host=https://www.ingentaconnect.com,C36JQ7PT
Full Text,,,"Law Enforcement, Mental Health, Social Work",,https://epress.lib.uts.edu.au/journals/index.php/mcs/article/download/6259/7125,T3U57MFR
Volodko et al. - 2020 - “Spotting the signs” of trafficking recruitment on.pdf,,,Needs Review,,https://link.springer.com/content/pdf/10.1007%2Fs12117-019-09376-5.pdf,A8FC7GDD
Full Text,,,Needs Review,,https://antitraffickingreview.org/index.php/atrjournal/article/download/574/425,SSS9PUK5
Full Text,,,Needs Review,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/anti.12579,NY6RL53D
Gezie et al. - 2019 - Sexual violence at each stage of human trafficking.pdf,,,Needs Review,,https://bmjopen.bmj.com/content/bmjopen/9/7/e024515.full.pdf,YE6W7B7X
Full Text,,,"Law Enforcement, Mental Health, Social Work",,https://sussex.figshare.com/articles/journal_contribution/Resiliency_and_women_exiting_sex_trade_industry_work/23429225/1/files/41143025.pdf,IYPN92EP
Full Text,,,Needs Review,,https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID2403365_code1660436.pdf?abstractid=2403365&mirid=1,9MH9WYPQ
Full Text,,,"Law Enforcement, Mental Health, Social Work",,https://www.researchgate.net/profile/Grace-Chang/publication/228131771_Reconceptualizing_Approaches_to_Human_Trafficking_New_Directions_and_Perspectives_from_the_Fields/links/5413caaf0cf2fa878ad3dff7/Reconceptualizing-Approaches-to-Human-Trafficking-New-Directions-and-Perspectives-from-the-Fields.pdf,DHDSQR9Q
Full Text,,,Needs Review,,https://www.dovepress.com/article_sign_file.php?article_id=91849,CF8A8EBI
Accepted Version,,,Needs Review,,https://www.research.ed.ac.uk/files/228397225/LesakEtalJHT2021RecommendationsForEducatingYouth.pdf,62D2HZGZ
Full Text,,,Needs Review,,https://digitalcommons.uri.edu/cgi/viewcontent.cgi?referer=&httpsredir=1&article=1068&context=dignity,A25SWGU2
Full Text,,,Needs Review,,http://www.ajogmfm.org/article/S2589933323000150/pdf,QPKDC7P3
Full Text,,,"Law Enforcement, Mental Health, Social Work",,https://academic.oup.com/jhrp/article-pdf/13/2/407/42894792/huab036.pdf?guestAccessKey=8e60eb1b-b6c1-432f-8afb-85cef67d65d1,8SXTGP9E
Karandikar et al. - 2014 - Patriarchy and Gender-Based Violence Experiences .pdf,,,Needs Review,,https://www.macrothink.org/journal/index.php/ijsw/article/download/5011/4305,CE3C9PPG
Full Text,,,Needs Review,,https://research-information.bris.ac.uk/files/322176225/Overcoming_Digital_Exclusion_during_the_COVID_19_Pandemic_Impact_of_Mobile_Technology_for_Survivors_of_Modern_Slavery_and_Human_Trafficking_A_Mixed_1_.pdf,9EMLL28E
Full Text,,,Needs Review,,https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID3118874_code1485531.pdf?abstractid=3082186&mirid=1,RFRCJVK3
"up! International, Cambodia et al. - 2017 - No Other Choice A Baseline Study on the Vulnera.pdf",,,Needs Review,,https://pdfs.semanticscholar.org/078d/b0cc46ada95295961a9bdd1c0c7294e95af9.pdf,EFAR8C9D
Tickler et al. - 2018 - Modern slavery and the race to fish.pdf,,,"Mental Health, Social Work",,https://www.researchgate.net/journal/Nature-Communications-2041-1723/publication/328790188_Modern_slavery_and_the_race_to_fish/links/5fb42d9c299bf10c36897cb7/Modern-slavery-and-the-race-to-fish.pdf,56X8NRB9
Full Text,,,"Law Enforcement, Mental Health, Social Work",,https://www.journals.uchicago.edu/doi/pdf/10.1086/685108?mobileUi=0,PEUILCGV
Full Text,,,Needs Review,,https://journals.library.ualberta.ca/cjs/index.php/CJS/article/download/22284/20557,U5HR4S67
Full Text,,,Needs Review,,https://www.researchgate.net/profile/Kyungseok-Choo/publication/271937824_Migrant_Sex_Workers_An_Analysis_of_Transnational_Crime_Displacement_and_Antitrafficking_Measures/links/56fdded708aee995dde564b3/Migrant-Sex-Workers-An-Analysis-of-Transnational-Crime-Displacement-and-Antitrafficking-Measures.pdf,8ZTRASDF
Full Text,,,Needs Review,,https://support.sas.com/resources/papers/proceedings17/1155-2017.pdf,C5CJ93B3
Full Text,,,"Law Enforcement, Mental Health, Social Work",,https://bmjopen.bmj.com/content/bmjopen/10/11/e038583.full.pdf,WSF6MSKZ
Full Text,,,Needs Review,,https://www.tandfonline.com/doi/pdf/10.1080/23322705.2021.1981708,6KZJKG6D
Full Text,,,Needs Review,,https://journals.sagepub.com/doi/pdf/10.1177/10482911211065751,6B4KE6ID
Full Text,,,Needs Review,,https://digitalcommons.uri.edu/cgi/viewcontent.cgi?article=1120&context=dignity,QII57AHU
Full Text,,,Needs Review,,https://academic.oup.com/bjc/article-pdf/58/2/255/23824557/azx028.pdf,7VV8U7C8
Full Text,,,Needs Review,,https://journals.sagepub.com/doi/pdf/10.1177/16094069221101966,AKGEM6AA
Full Text,,,"Law Enforcement, Mental Health, Social Work",,https://www.antitraffickingreview.org/index.php/atrjournal/article/download/202/191,T7LCDX5N
Full Text,,,Needs Review,,http://www.whijournal.com/article/S1049386721000815/pdf,FXISXZJ4
Full Text,,,Needs Review,,https://pubsonline.informs.org/doi/pdf/10.1287/mnsc.2022.4498,FRJCHHTL
Full Text,,,Needs Review,,https://journals.sagepub.com/doi/pdf/10.1177/0886109920944526,LPJ78K6F
Recknor et al. - 2024 - Impacts of the COVID-19 Public Health Crisis on Ca.pdf,,,Needs Review,,https://journals.sagepub.com/doi/pdf/10.1177/15248399231186639,EXDDE68Y
Full Text,,,Needs Review,,https://www.researchgate.net/profile/Manuel-Ramos-23/publication/352098356_%27If_you_don%27t_migrate_you%27re_a_nobody%27_Migration_recruitment_networks_and_experiences_of_Nepalese_farm_workers_in_Portugal/links/60c9d64b458515dcee937706/If-you-dont-migrate-youre-a-nobody-Migration-recruitment-networks-and-experiences-of-Nepalese-farm-workers-in-Portugal.pdf,YRZ23JAL
"Brunovskis - 2024 - Identification work Ambivalence, qualms and resis.pdf",,,"Law Enforcement, Mental Health, Social Work",,https://journals.sagepub.com/doi/pdf/10.1177/00208728221126263,HYG5I39E
Full Text,,,Needs Review,,http://publichealth.lacounty.gov/ha/present/Staff_researchpapers/Susie_Baldwin_Articles/BaldwinHHR2011.pdf,DEIPLWNQ
Full Text,,,Needs Review,,https://assets.pubpub.org/dka3x5q5/31667471846333.pdf,HLNRXJCR
Full Text,,,Needs Review,,https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID3126832_code1485531.pdf?abstractid=3098105&mirid=1,38IJZKHU
Full Text,,,Needs Review,,https://www.nepjol.info/index.php/rnjds/article/download/25276/21168,LNGN7CZF
Full Text,,,Needs Review,,https://www.ijsrd.com/articles/IJSRDV5I70251.pdf,YBNWA2VV
Full Text,,,Needs Review,,https://link.springer.com/content/pdf/10.1007%2Fs11292-017-9321-3.pdf,RUYU7SYJ
Kennedy - 2019 - Human Trafficking “Modern Day Slavery” Promoting t.pdf,,,Needs Review,,https://www.researchgate.net/profile/Bernice-Kennedy/publication/341032879_Human_Trafficking_Modern_Day_Slavery_Promoting_the_Need_for_Adequate_Screening_Assessment_and_Interventions_for_Physical_and_Mental_Conditions_by_Healthcare_Professionals/links/5f4868b4299bf13c5044daa1/Human-Trafficking-Modern-Day-Slavery-Promoting-the-Need-for-Adequate-Screening-Assessment-and-Interventions-for-Physical-and-Mental-Conditions-by-Healthcare-Professionals.pdf,H7J9F3EZ
Full Text,,,Needs Review,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4454473/pdf/nihms-655814.pdf,5ZJF6G2U
